scientific_name,park_name,observations
Briza minor,Yosemite National Park,209
Ailanthus altissima,Great Smoky Mountains National Park,82
Carex backii,Yosemite National Park,135
Anemone quinquefolia,Yosemite National Park,123
Aythya affinis,Bryce National Park,98
Etheostoma flabellare,Bryce National Park,104
Linnaea borealis,Great Smoky Mountains National Park,95
Calochortus vestae,Yellowstone National Park,226
Potamogeton obtusifolius,Yosemite National Park,182
Narcissus pseudonarcissus,Yosemite National Park,147
Achnatherum hymenoides,Bryce National Park,90
Carex nervina,Yosemite National Park,151
Ranunculus alismifolius var. hartwegii,Yellowstone National Park,239
Chen caerulescens,Yellowstone National Park,268
Pyrocephalus rubinus,Yosemite National Park,178
Felis concolor,Bryce National Park,65
Bidens aristosa,Great Smoky Mountains National Park,57
Icterus spurius,Yosemite National Park,134
Eriophorum chamissonis,Yosemite National Park,154
Calochortus vestae,Great Smoky Mountains National Park,103
Polygala senega var. latifolia,Bryce National Park,103
Vireo gilvus,Bryce National Park,101
Ranunculus alismifolius var. alismellus,Yosemite National Park,154
Muhlenbergia schreberi,Yosemite National Park,149
Helianthus maximiliani,Yosemite National Park,120
Carex subfusca,Great Smoky Mountains National Park,59
Glaucomys sabrinus,Bryce National Park,86
Valeriana occidentalis,Bryce National Park,83
Tridens flavus var. flavus,Bryce National Park,127
Helianthus glaucophyllus,Yellowstone National Park,292
Aconitum uncinatum,Great Smoky Mountains National Park,77
Pseudacris regilla,Yellowstone National Park,206
Streptanthus tortuosus var. orbiculatus,Great Smoky Mountains National Park,96
Gratiola viscidula,Yellowstone National Park,292
Astragalus kentrophyta var. tegetarius,Great Smoky Mountains National Park,57
Carex albicans var. albicans,Bryce National Park,67
Dichanthelium dichotomum var. dichotomum,Yosemite National Park,168
Archilochus colubris,Yellowstone National Park,273
Cardamine pachystigma var. pachystigma,Yellowstone National Park,244
Polygonum setaceum,Bryce National Park,131
Claytonia caroliniana,Yosemite National Park,103
Esox masquinongy,Bryce National Park,126
Cunila origanoides,Bryce National Park,128
Cynoglossum grande,Bryce National Park,90
Hieracium caespitosum,Yosemite National Park,162
Mimulus bicolor,Great Smoky Mountains National Park,68
Hypericum anagalloides,Yosemite National Park,173
Dicentra uniflora,Yosemite National Park,119
Branta bernicla,Yellowstone National Park,246
Marmota monax,Yellowstone National Park,261
Sanicula tuberosa,Yellowstone National Park,263
Lupinus argenteus var. argenteus,Yellowstone National Park,271
Kumlienia hystricula,Bryce National Park,77
Myiarchus crinitus,Yosemite National Park,149
Galium multiflorum,Bryce National Park,115
Glyceria nubigena,Bryce National Park,104
Hordeum pusillum,Yosemite National Park,152
Verbesina alternifolia,Yosemite National Park,163
Potentilla norvegica,Yellowstone National Park,274
Elymus scribneri,Great Smoky Mountains National Park,97
Calidris alpina,Yellowstone National Park,246
Astragalus congdonii,Great Smoky Mountains National Park,89
Caprimulgus carolinensis,Yosemite National Park,150
Vitis cinerea var. baileyana,Bryce National Park,94
Penstemon azureus var. angustissimus,Bryce National Park,70
Subularia aquatica,Bryce National Park,103
Scirpus lineatus,Bryce National Park,94
Scheuchzeria palustris,Great Smoky Mountains National Park,46
Oxalis corniculata,Yellowstone National Park,249
Geum macrophyllum var. perincisum,Yosemite National Park,146
Pseudobahia heermannii,Great Smoky Mountains National Park,76
Plethodon ventralis,Yosemite National Park,129
Bidens cernua,Yosemite National Park,177
Festuca subverticillata,Great Smoky Mountains National Park,101
Poa secunda,Bryce National Park,81
Rhynchospora gracilenta,Great Smoky Mountains National Park,70
Larus atricilla,Yosemite National Park,141
Phacelia humilis var. humilis,Yellowstone National Park,284
Lutra canadensis,Bryce National Park,91
Carex virescens,Bryce National Park,115
Trillium angustipetalum,Yosemite National Park,137
Viola macloskeyi,Great Smoky Mountains National Park,59
Fimbristylis tomentosa,Yosemite National Park,115
Eriogonum lobbii var. lobbii,Yosemite National Park,128
Agrimonia pubescens,Bryce National Park,117
Streptanthus diversifolius,Yosemite National Park,123
Potentilla drummondii ssp. drummondii,Yosemite National Park,153
Penstemon whippleanus,Yellowstone National Park,251
Artemisia tridentata var. tridentata,Yellowstone National Park,274
Anthus rubescens,Yellowstone National Park,210
Spiranthes ochroleuca,Yosemite National Park,146
Nycticorax nycticorax,Great Smoky Mountains National Park,65
Campanula rotundifolia,Great Smoky Mountains National Park,67
Geum rossii var. turbinatum,Yosemite National Park,171
Picoides nuttallii,Yellowstone National Park,239
Heuchera pubescens,Bryce National Park,69
Carex prasina,Great Smoky Mountains National Park,51
Quercus muehlenbergii,Yosemite National Park,171
Diadophis punctatus,Yellowstone National Park,245
Brachyelytrum septentrionale,Bryce National Park,84
Pituophis catenifer catenifer,Great Smoky Mountains National Park,53
Carex hoodii,Great Smoky Mountains National Park,60
Sphyrapicus thyroideus,Yosemite National Park,140
Cyperus croceus,Great Smoky Mountains National Park,94
Carex disperma,Yosemite National Park,198
Ptilium crista-castrensis,Yellowstone National Park,232
Lobelia amoena,Bryce National Park,93
Vermivora chrysoptera X pinus,Great Smoky Mountains National Park,94
Ionactis linariifolius,Yellowstone National Park,247
Solidago uliginosa,Yellowstone National Park,272
Lithospermum incisum,Great Smoky Mountains National Park,65
Polypodium virginianum,Bryce National Park,89
Equus caballus,Bryce National Park,75
Alyssum desertorum,Yellowstone National Park,262
Grayia spinosa,Bryce National Park,95
Troglodytes pacificus,Great Smoky Mountains National Park,80
Bufo americanus americanus,Yosemite National Park,119
Verbascum thapsus,Bryce National Park,112
Anomodon rostratus,Yosemite National Park,108
Carex feta,Great Smoky Mountains National Park,55
Kelloggia galioides,Great Smoky Mountains National Park,76
Cirsium discolor,Yosemite National Park,162
Carya ovata,Great Smoky Mountains National Park,84
Anomodon viticulosus,Yosemite National Park,174
Thalictrum sparsiflorum,Bryce National Park,91
Trifolium hybridum,Great Smoky Mountains National Park,95
Penstemon humilis,Great Smoky Mountains National Park,96
Iris pseudacorus,Yellowstone National Park,291
Galium bolanderi,Bryce National Park,49
Carex gravida var. lunelliana,Yellowstone National Park,266
Chenopodium multifidum,Bryce National Park,115
Juncus triformis,Bryce National Park,104
Anagallis arvensis,Bryce National Park,90
Eriophyllum congdonii,Bryce National Park,123
Muhlenbergia capillaris,Great Smoky Mountains National Park,106
Myosotis scorpioides,Great Smoky Mountains National Park,97
Cuscuta rostrata,Yosemite National Park,134
Corylus cornuta,Yellowstone National Park,247
Bartonia paniculata,Bryce National Park,84
Rosa bridgesii,Bryce National Park,84
Linanthus filipes,Yosemite National Park,146
Apocynum cannabinum,Yellowstone National Park,278
Listera borealis,Yosemite National Park,149
Anas discors,Yellowstone National Park,260
Antennaria umbrinella,Yosemite National Park,152
Isoetes howellii,Yosemite National Park,149
Richardsonius balteatus,Yellowstone National Park,239
Cryptantha muricata,Yosemite National Park,155
Thelypteris palustris var. pubescens,Yosemite National Park,163
Plethodon cinereus,Yosemite National Park,154
Sciurus griseus,Great Smoky Mountains National Park,71
Dicranum fuscescens,Bryce National Park,100
Rosa gymnocarpa,Bryce National Park,122
Penstemon humilis,Bryce National Park,72
Stenanthium gramineum,Yosemite National Park,155
Agalinis purpurea,Great Smoky Mountains National Park,71
Sambucus canadensis,Great Smoky Mountains National Park,62
Stellaria longifolia,Bryce National Park,72
Bromus diandrus,Yosemite National Park,124
Bazzania trilobata,Yellowstone National Park,244
Artemisia tridentata ssp. tridentata,Great Smoky Mountains National Park,52
Poa leptocoma,Great Smoky Mountains National Park,75
Arctoa fulvella,Yosemite National Park,142
Pycnanthemum tenuifolium,Yosemite National Park,182
Lepidium perfoliatum,Bryce National Park,145
Lepidium virginicum,Bryce National Park,127
Solidago uliginosa,Yosemite National Park,168
Mustela vison,Yosemite National Park,182
Dicentra formosa,Bryce National Park,97
Calamagrostis stricta,Bryce National Park,132
Lycopersicon esculentum,Great Smoky Mountains National Park,59
Physostegia virginiana ssp. virginiana,Yellowstone National Park,242
Phacelia egena,Bryce National Park,72
Mimulus viscidus,Yellowstone National Park,249
Adiantum jordanii,Bryce National Park,93
Carex leptalea,Yosemite National Park,153
Polygonum setaceum,Great Smoky Mountains National Park,61
Angelica arguta,Yellowstone National Park,253
Thermopsis mollis var. mollis,Bryce National Park,97
Hypericum hypericoides,Bryce National Park,123
Heterotheca camporum,Bryce National Park,122
Nucifraga columbiana,Yellowstone National Park,240
Hypnum curvifolium,Yosemite National Park,131
Spergula arvensis,Yellowstone National Park,261
Allium obtusum var. conspicuum,Great Smoky Mountains National Park,85
Setophaga coronata coronata,Yosemite National Park,131
Physocarpus malvaceus,Yosemite National Park,162
Agrostis variabilis,Bryce National Park,103
Delphinium nudicaule,Great Smoky Mountains National Park,66
Plantago eriopoda,Bryce National Park,102
Brassica napus,Yosemite National Park,123
Antennaria media,Yellowstone National Park,265
Saxifraga occidentalis,Yellowstone National Park,265
Galactia regularis,Bryce National Park,52
Eriogonum caespitosum,Bryce National Park,77
Veronica arvensis,Great Smoky Mountains National Park,103
Lemna valdiviana,Yellowstone National Park,253
Grus canadensis,Great Smoky Mountains National Park,118
Aulacomnium heterostichum,Great Smoky Mountains National Park,72
Taxidea taxus,Great Smoky Mountains National Park,84
Spilogale gracilis,Great Smoky Mountains National Park,62
Amorpha georgiana,Great Smoky Mountains National Park,38
Salix cascadensis,Bryce National Park,98
Aimophila aestivalis,Yellowstone National Park,228
Potentilla pseudosericea,Yosemite National Park,188
Stenotus acaulis,Bryce National Park,96
Carex baileyi,Bryce National Park,90
Ondatra zibethicus,Yosemite National Park,132
Draba densifolia,Great Smoky Mountains National Park,101
Paronychia argyrocoma,Yosemite National Park,165
Botrychium minganense,Yellowstone National Park,241
Antennaria flagellaris,Yosemite National Park,182
Asperugo procumbens,Yellowstone National Park,236
Ranunculus repens,Great Smoky Mountains National Park,74
Cyperus flavescens,Great Smoky Mountains National Park,70
Ranunculus eschscholtzii var. oxynotus,Bryce National Park,124
Erigeron lonchophyllus,Yellowstone National Park,286
Eleocharis decumbens,Bryce National Park,92
Philonotis fontana,Bryce National Park,85
Eupatorium rotundifolium,Yosemite National Park,161
Juncus tenuis,Bryce National Park,117
Carex debilis,Yosemite National Park,121
Papaver hybridum,Bryce National Park,88
Colinus virginianus,Yellowstone National Park,238
Platylomella lescurii,Bryce National Park,106
Galeopsis ladanum,Yosemite National Park,137
Parthenium integrifolium,Bryce National Park,73
Galeopsis tetrahit,Bryce National Park,78
Cardamine flagellifera,Yosemite National Park,163
Veronica agrestis,Yosemite National Park,150
Clarkia modesta,Yosemite National Park,153
Potamogeton natans,Great Smoky Mountains National Park,94
Carex fissuricola,Yosemite National Park,146
Polymnia laevigata,Yellowstone National Park,259
Verbesina occidentalis,Great Smoky Mountains National Park,75
Polygala cruciata,Yosemite National Park,156
Monarda punctata,Bryce National Park,108
Acer pensylvanicum,Yellowstone National Park,284
Mustela frenata,Bryce National Park,109
Liatris spicata,Yellowstone National Park,244
Ranunculus acris var. acris,Bryce National Park,120
Scleria oligantha,Yellowstone National Park,257
Fritillaria micrantha,Yosemite National Park,181
Allium canadense,Bryce National Park,90
Dracocephalum thymiflorum,Yellowstone National Park,297
Pastinaca sativa,Bryce National Park,44
Asplenium ruta-muraria,Bryce National Park,99
Veronica officinalis,Yosemite National Park,174
Allium yosemitense,Yellowstone National Park,226
Lespedeza repens,Yellowstone National Park,274
Wolffia brasiliensis,Great Smoky Mountains National Park,50
Muhlenbergia filiformis,Yosemite National Park,136
Thalictrum fendleri var. fendleri,Yellowstone National Park,276
Rana sierrae,Great Smoky Mountains National Park,11
Phacelia mutabilis,Great Smoky Mountains National Park,68
Myosotis scorpioides,Yosemite National Park,149
Contopus sordidulus,Yosemite National Park,110
Agrostis humilis,Yosemite National Park,179
Crepis intermedia,Yosemite National Park,117
Symphyotrichum dumosum var. dumosum,Yellowstone National Park,239
Eupatorium rugosum,Bryce National Park,96
Gaultheria humifusa,Yellowstone National Park,225
Robinia pseudoacacia,Yosemite National Park,143
Dryopteris arguta,Great Smoky Mountains National Park,84
Galium triflorum,Yellowstone National Park,237
Carex platylepis,Great Smoky Mountains National Park,86
Myosotis verna,Great Smoky Mountains National Park,84
Cryphaea glomerata,Bryce National Park,95
Bromus vulgaris,Yosemite National Park,145
Oncophorus wahlenbergii,Great Smoky Mountains National Park,64
Physostegia virginiana ssp. praemorsa,Great Smoky Mountains National Park,99
Quercus prinus,Yosemite National Park,112
Coreopsis lanceolata,Yellowstone National Park,272
Viola walteri,Yosemite National Park,134
Selasphorus sasin,Yosemite National Park,160
Desmodium ciliare,Bryce National Park,101
Juncus nevadensis,Yellowstone National Park,239
Monolepis spathulata,Yellowstone National Park,280
Symphyotrichum patens var. patens,Yellowstone National Park,282
Phacelia bipinnatifida,Yosemite National Park,154
Fraxinus americana,Yosemite National Park,106
Moxostoma carinatum,Bryce National Park,127
Sanicula marilandica,Yellowstone National Park,240
Macrocoma sullivantii,Great Smoky Mountains National Park,65
Streptopelia decaocto,Yosemite National Park,150
Sparganium emersum ssp. emersum,Yosemite National Park,141
Vaccinium myrtillus var. oreophilum,Bryce National Park,78
Potamogeton foliosus ssp. foliosus,Yellowstone National Park,235
Potamogeton zosteriformis,Yosemite National Park,119
Carex filifolia,Yosemite National Park,153
Melanthium latifolium,Great Smoky Mountains National Park,86
Galium triflorum,Yosemite National Park,164
Scutellaria lateriflora,Yosemite National Park,168
Festuca rubra,Yellowstone National Park,225
Penstemon montanus var. montanus,Great Smoky Mountains National Park,65
Acalypha ostryifolia,Yosemite National Park,150
Physalis grisea,Great Smoky Mountains National Park,96
Arctostaphylos viscida ssp. viscida,Yosemite National Park,151
Phoenicaulis cheiranthoides,Great Smoky Mountains National Park,86
Cunila origanoides,Great Smoky Mountains National Park,62
Rissa tridactyla,Great Smoky Mountains National Park,93
Aletris farinosa,Yosemite National Park,170
Ranunculus parviflorus,Yellowstone National Park,249
Cosmos bipinnatus,Yellowstone National Park,246
Ipomoea quamoclit,Yosemite National Park,148
Callicarpa americana,Bryce National Park,103
Peromyscus boylii,Yellowstone National Park,266
Verbena hastata,Great Smoky Mountains National Park,79
Carex bebbii,Yellowstone National Park,247
Polytrichum strictum,Yellowstone National Park,224
Asclepias cordifolia,Yellowstone National Park,283
Onobrychis viciifolia,Yosemite National Park,141
Robinia viscosa var. hartwegii,Yellowstone National Park,231
Heracleum lanatum,Yosemite National Park,126
Lupinus gracilentus,Great Smoky Mountains National Park,45
Callitriche heterophylla var. bolanderi,Great Smoky Mountains National Park,124
Mitella pentandra,Yosemite National Park,169
Aplectrum hyemale,Great Smoky Mountains National Park,88
Saxifraga caroliniana,Yellowstone National Park,230
Monolepis spathulata,Great Smoky Mountains National Park,48
Trifolium wormskioldii,Bryce National Park,107
Nothocalais nigrescens,Great Smoky Mountains National Park,74
Stuckenia filiformis ssp. alpinus,Yellowstone National Park,230
Silene vulgaris,Yosemite National Park,168
Monardella sheltonii,Bryce National Park,89
Raillardella scaposa,Great Smoky Mountains National Park,38
Chaetura vauxi,Bryce National Park,80
Euphorbia dentata var. dentata,Bryce National Park,84
Parthenocissus quinquefolia,Great Smoky Mountains National Park,96
Castilleja densiflora ssp. densiflora,Bryce National Park,63
Ribes amarum,Great Smoky Mountains National Park,47
Ribes lacustre,Yosemite National Park,175
Allium obtusum,Great Smoky Mountains National Park,81
Capsella rubella,Yosemite National Park,177
Juglans mandshurica,Bryce National Park,105
Populus deltoides,Great Smoky Mountains National Park,94
Ursus arctos horribilis,Yosemite National Park,73
Amphispiza bilineata,Great Smoky Mountains National Park,83
Erigeron strigosus,Bryce National Park,71
Erigeron peregrinus,Bryce National Park,73
Cardamine dissecta,Yosemite National Park,157
Epilobium saximontanum,Yellowstone National Park,258
Hesperis matronalis,Yosemite National Park,161
Castilleja sulphurea,Yosemite National Park,132
Antennaria flagellaris,Great Smoky Mountains National Park,80
Artemisia michauxiana,Bryce National Park,116
Cemophora coccinea copei,Yellowstone National Park,250
Chelone obliqua,Bryce National Park,106
Martes pennanti,Great Smoky Mountains National Park,68
Poa cusickii ssp. cusickii,Yosemite National Park,177
Senecio lugens,Yellowstone National Park,269
Cyperus setigerus,Bryce National Park,98
Draba lonchocarpa var. lonchocarpa,Great Smoky Mountains National Park,44
Anemone drummondii,Yosemite National Park,136
Salix tweedyi,Bryce National Park,114
Pinus virginiana,Yellowstone National Park,232
Gaylussacia baccata,Bryce National Park,94
Euphorbia mercurialina,Yellowstone National Park,237
Verbesina virginica,Yosemite National Park,128
Viola conspersa,Great Smoky Mountains National Park,78
Maclura pomifera,Bryce National Park,88
Larus argentatis,Great Smoky Mountains National Park,45
Neckera complanata,Great Smoky Mountains National Park,84
Pseudacris feriarum feriarum,Bryce National Park,71
Aphelocoma californica,Bryce National Park,73
Aureolaria pectinata,Bryce National Park,105
Vulpia octoflora,Yellowstone National Park,245
Galium mollugo,Yosemite National Park,146
Blephilia hirsuta,Great Smoky Mountains National Park,77
Arnica parryi ssp. sonnei,Bryce National Park,92
Carex davyi,Bryce National Park,88
Carex cusickii,Yellowstone National Park,228
Ipomoea lacunosa,Great Smoky Mountains National Park,81
Melospiza melodia,Yosemite National Park,144
Pseudotriton montanus montanus,Yellowstone National Park,267
Ruellia strepens,Great Smoky Mountains National Park,73
Convolvulus arvensis,Great Smoky Mountains National Park,56
Sisyrinchium idahoense var. idahoense,Great Smoky Mountains National Park,108
Lonicera morrowii,Yellowstone National Park,241
Myotis ciliolabrum,Yosemite National Park,123
Magnolia macrophylla,Bryce National Park,93
Orthotrichum stellatum,Bryce National Park,131
Filago gallica,Yellowstone National Park,258
Rhus typhina,Yellowstone National Park,270
Arisaema dracontium,Great Smoky Mountains National Park,73
Phegopteris hexagonoptera,Bryce National Park,96
Ranunculus flammula,Bryce National Park,106
Ribes nevadense,Great Smoky Mountains National Park,105
Hieracium caespitosum,Great Smoky Mountains National Park,51
Aristida purpurea var. longiseta,Great Smoky Mountains National Park,77
Psaltriparus minimus,Yosemite National Park,134
Nycticorax nycticorax,Yellowstone National Park,206
Delphinium exaltatum,Great Smoky Mountains National Park,59
Vaccinium scoparium,Great Smoky Mountains National Park,70
Chaetura vauxi,Yosemite National Park,111
Stachys tenuifolia,Great Smoky Mountains National Park,77
Antennaria racemosa,Yosemite National Park,183
Megascops asio,Yosemite National Park,158
Rissa tridactyla,Yellowstone National Park,294
Polygonum arenastrum,Yosemite National Park,151
Saxifraga oregana,Yosemite National Park,187
Tringa semipalmata,Bryce National Park,111
Streptanthus tortuosus var. orbiculatus,Yellowstone National Park,224
Cyprinella spiloptera,Yellowstone National Park,227
Aulacomnium palustre,Great Smoky Mountains National Park,61
Carex cristatella,Bryce National Park,96
Desmognathus monticola,Great Smoky Mountains National Park,88
Solanum ptychanthum,Great Smoky Mountains National Park,89
Isotria verticillata,Yellowstone National Park,260
Saccharum giganteum,Great Smoky Mountains National Park,82
Parnassia asarifolia,Yellowstone National Park,271
Allium ampeloprasum,Great Smoky Mountains National Park,70
Festuca rubra,Yosemite National Park,156
Nandina domestica,Bryce National Park,108
Valeriana edulis var. edulis,Yellowstone National Park,245
Pedicularis attollens,Yellowstone National Park,218
Percina burtoni,Bryce National Park,101
Arceuthobium abietinum,Bryce National Park,120
Ectopistes migratorius,Yosemite National Park,177
Carex stipata var. stipata,Yellowstone National Park,270
Dianthus barbatus,Great Smoky Mountains National Park,74
Spiraea vanhouttei,Great Smoky Mountains National Park,63
Geum virginianum,Yosemite National Park,166
Patagioenas fasciata,Yellowstone National Park,232
Anas clypeata,Great Smoky Mountains National Park,82
Carex lemmonii,Yellowstone National Park,237
Sternotherus odoratus,Yellowstone National Park,209
Juncus torreyi,Yosemite National Park,155
Dichanthelium linearifolium,Great Smoky Mountains National Park,71
Aplectrum hyemale,Yosemite National Park,150
Ipomoea pandurata,Great Smoky Mountains National Park,89
Melanerpes formicivorus,Great Smoky Mountains National Park,89
Botrychium dissectum,Yosemite National Park,156
Castilleja applegatei,Great Smoky Mountains National Park,79
Schwetschkeopsis fabronia,Bryce National Park,103
Eriogonum wrightii var. trachygonum,Great Smoky Mountains National Park,79
Arceuthobium cyanocarpum,Yosemite National Park,138
Aspidoscelis tigris munda,Great Smoky Mountains National Park,36
Podiceps nigricollis,Yosemite National Park,161
Rana pipiens,Bryce National Park,92
Anas rubripes,Bryce National Park,87
Lithophragma bolanderi,Bryce National Park,80
Erodium brachycarpum,Bryce National Park,144
Anas clypeata,Yosemite National Park,153
Platycladus orientalis,Yosemite National Park,110
Ammoselinum butleri,Yosemite National Park,179
Chenopodium multifidum,Great Smoky Mountains National Park,85
Capsella bursa-pastoris,Yellowstone National Park,291
Rumex obtusifolius,Yosemite National Park,153
Euphorbia mercurialina,Yosemite National Park,171
Linaria vulgaris,Yosemite National Park,150
Plagiobothrys torreyi var. diffusus,Bryce National Park,107
Rubus leucodermis,Great Smoky Mountains National Park,62
Calycadenia oppositifolia,Great Smoky Mountains National Park,97
Fundulus catenatus,Great Smoky Mountains National Park,54
Panicum rigidulum var. pubescens,Bryce National Park,83
Dumetella carolinensis,Yellowstone National Park,242
Mimulus leptaleus,Great Smoky Mountains National Park,113
Orobanche corymbosa,Bryce National Park,123
Minuartia nuttallii,Yosemite National Park,125
Tortula ammonsiana,Yellowstone National Park,228
Carpinus caroliniana,Great Smoky Mountains National Park,74
Glyceria borealis,Yellowstone National Park,273
Dirca palustris,Great Smoky Mountains National Park,93
Lepus americanus tahoensis,Yellowstone National Park,233
Acer leucoderme,Great Smoky Mountains National Park,107
Etheostoma gutselli,Bryce National Park,100
Rubus flagellaris,Bryce National Park,96
Polypodium hesperium,Bryce National Park,67
Carex cristatella,Great Smoky Mountains National Park,46
Woodwardia areolata,Yellowstone National Park,261
Rorippa nasturtium-aquaticum,Yosemite National Park,163
Setophaga tigrina,Yosemite National Park,137
Lonicera standishii,Yellowstone National Park,226
Angelica venenosa,Yosemite National Park,170
Poa secunda,Great Smoky Mountains National Park,90
Bubulcus ibis,Yosemite National Park,171
Tringa flavipes,Great Smoky Mountains National Park,75
Alisma triviale,Great Smoky Mountains National Park,69
Regulus calendula,Bryce National Park,109
Phlox speciosa ssp. occidentalis,Great Smoky Mountains National Park,86
Myurella sibirica,Bryce National Park,98
Selasphorus sasin,Yellowstone National Park,261
Eumeces inexpectatus,Great Smoky Mountains National Park,77
Hedera helix,Yosemite National Park,114
Claytonia lanceolata,Bryce National Park,127
Trifolium bolanderi,Bryce National Park,95
Erigeron compositus,Bryce National Park,140
Cemophora coccinea copei,Yosemite National Park,144
Townsendia parryi,Yosemite National Park,148
Polemonium californicum,Yellowstone National Park,265
Tringa solitaria,Bryce National Park,115
Viola tripartita,Yosemite National Park,163
Solidago odora,Yellowstone National Park,245
Dichanthelium sabulorum var. thinium,Great Smoky Mountains National Park,119
Lactuca floridana,Bryce National Park,96
Ilex opaca,Bryce National Park,96
Camissonia breviflora,Yosemite National Park,144
Erigeron formosissimus var. viscidus,Yellowstone National Park,253
Sedum obtusatum ssp. obtusatum,Great Smoky Mountains National Park,82
Dichanthelium acuminatum,Yosemite National Park,188
Limnothlypis swainsonii,Bryce National Park,109
Arnica latifolia,Yellowstone National Park,263
Hordeum pusillum,Yellowstone National Park,230
Smilax hugeri,Bryce National Park,84
Elymus repens,Bryce National Park,127
Salix exigua,Bryce National Park,82
Cleistes bifaria,Yosemite National Park,144
Digitaria sanguinalis,Yosemite National Park,137
Carex neurophora,Yellowstone National Park,241
Asplenium rhizophyllum,Bryce National Park,104
Mimulus montioides,Yosemite National Park,135
Fraxinus latifolia,Yosemite National Park,126
Branta bernicla,Yosemite National Park,149
Halesia tetraptera var. monticola,Great Smoky Mountains National Park,92
Lobelia amoena,Yosemite National Park,119
Populus nigra,Yellowstone National Park,245
Populus balsamifera,Yosemite National Park,148
Plagiothecium laetum,Yellowstone National Park,273
Phacelia mutabilis,Yosemite National Park,138
Thymallus arcticus,Yellowstone National Park,263
Veronica hederifolia,Yosemite National Park,100
Calypte anna,Bryce National Park,115
Athyrium alpestre var. americanum,Bryce National Park,106
Penstemon rydbergii var. oreocharis,Yellowstone National Park,227
Chrysopsis mariana,Yellowstone National Park,270
Juncus bufonius,Great Smoky Mountains National Park,67
Selaginella hansenii,Yosemite National Park,173
Dioscorea oppositifolia,Yellowstone National Park,230
Limnodromus griseus,Yellowstone National Park,291
Cottus gulosus,Yosemite National Park,192
Carex amphibola var. turgida,Bryce National Park,91
Arctium minus,Great Smoky Mountains National Park,63
Hylocichla mustelina,Great Smoky Mountains National Park,55
Icterus parisorum,Bryce National Park,89
Pinus lambertiana,Yosemite National Park,151
Aegilops cylindrica,Bryce National Park,76
Helianthella quinquenervis,Bryce National Park,113
Viola pubescens var. scabriuscula,Bryce National Park,86
Pinus monophylla,Yosemite National Park,148
Danthonia intermedia,Yosemite National Park,135
Dendroica pinus,Yellowstone National Park,284
Smelowskia calycina var. americana,Yellowstone National Park,262
Elaeagnus commutata,Yosemite National Park,112
Trisetum canescens,Yellowstone National Park,282
Phleum pratense,Yosemite National Park,143
Phlox diffusa,Yellowstone National Park,242
Avena sativa,Bryce National Park,140
Agrimonia gryposepala,Yosemite National Park,145
Rubus idaeus ssp. strigosus,Bryce National Park,45
Saponaria officinalis,Great Smoky Mountains National Park,85
Elymus elymoides ssp. elymoides,Bryce National Park,103
Cynoglossum officinale,Bryce National Park,114
Saxifraga mertensiana,Bryce National Park,120
Carex luzulifolia,Yosemite National Park,161
Acalypha ostryifolia,Bryce National Park,95
Lactuca biennis,Yellowstone National Park,238
Hydrophyllum canadense,Bryce National Park,85
Saxifraga careyana,Bryce National Park,94
Podostemum ceratophyllum,Bryce National Park,131
Eriogonum flavum var. flavum,Great Smoky Mountains National Park,49
Nassella viridula,Yosemite National Park,153
Montia linearis,Great Smoky Mountains National Park,66
Gilia leptalea,Yellowstone National Park,260
Bulbostylis capillaris,Bryce National Park,96
Lotus micranthus,Yosemite National Park,150
Alnus serrulata,Yosemite National Park,167
Echium vulgare,Great Smoky Mountains National Park,52
Ardea albus,Great Smoky Mountains National Park,91
Picoides borealis,Yellowstone National Park,64
Mazus pumilus,Great Smoky Mountains National Park,60
Lithophragma heterophyllum,Yellowstone National Park,273
Nocomis micropogon,Yellowstone National Park,231
Notropis telescopus,Yellowstone National Park,225
Neotoma cinerea,Great Smoky Mountains National Park,75
Gayophytum diffusum ssp. diffusum,Great Smoky Mountains National Park,41
Thaspium trifoliatum,Bryce National Park,65
Polemonium reptans,Great Smoky Mountains National Park,51
Carex angustata,Yosemite National Park,167
Lycopodium tristachyum,Yosemite National Park,196
Crataegus pinetorum,Yosemite National Park,134
Eumeces laticeps,Great Smoky Mountains National Park,63
Carex rossii,Bryce National Park,102
Symphyotrichum lanceolatum var. hesperium,Bryce National Park,113
Physalis pruinosa,Great Smoky Mountains National Park,99
Chaenactis glabriuscula var. glabriuscula,Yosemite National Park,156
Corallorhiza wisteriana,Yosemite National Park,150
Solidago multiradiata var. scopulorum,Bryce National Park,96
Stachys nuttallii,Yellowstone National Park,259
Botrychium multifidum,Bryce National Park,154
Matricaria discoidea,Great Smoky Mountains National Park,87
Linum striatum,Bryce National Park,84
Buteo lineatus,Yellowstone National Park,224
Lespedeza hirta,Yosemite National Park,141
Lepidium virginicum var. pubescens,Great Smoky Mountains National Park,89
Lycopus rubellus,Yellowstone National Park,238
Draba reptans,Bryce National Park,97
Eleocharis,Yellowstone National Park,212
Pohlia elongata,Yellowstone National Park,239
Carex torta,Bryce National Park,92
Valeriana acutiloba var. pubicarpa,Yosemite National Park,155
Populus angustifolia,Great Smoky Mountains National Park,92
Aster foliaceus var. parryi,Yellowstone National Park,281
Oncorhynchus clarkii henshawi,Yosemite National Park,85
Delphinium nudicaule,Bryce National Park,104
Castilleja applegatei ssp. disticha,Yosemite National Park,176
Dodecatheon meadia,Yosemite National Park,185
